P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	Holly	SLA3.1	V480	0.204582	0.220926	0.040935	0.065897	609953
bic_1	SPC.3.1	Holly	SLA5.1	V480	0.192451	0.209313	0.039704	0.065752	611153
bic_1	SPC.3.1	Holly	WFM1.1	V480	0.248208	0.26534	0.039476	0.064936	598214
bic_1	SPC.3.1	Holly	WFM2.2	V480	0.287286	0.303092	0.043493	0.066315	591607
bic_1	SPC.3.1	Holly	WFM3.1	V480	0.281277	0.295432	0.044918	0.065432	593814
bic_1	SPC.3.1	HST1.1	ARS.1.1	V480	0.277227	0.296935	0.028097	0.057365	592323
bic_1	SPC.3.1	HST1.1	ARS2.1	V480	0.273035	0.292664	0.027589	0.056814	590710
bic_1	SPC.3.1	HST1.1	ARS3.1	V480	0.213861	0.232826	0.029152	0.058638	604313
bic_1	SPC.3.1	HST1.1	CAR-C27.1	V480	0.258463	0.276519	0.0295	0.056492	599491
bic_1	SPC.3.1	HST1.1	CARC3.1	V480	0.253097	0.272826	0.029599	0.059232	598974
bic_1	SPC.3.1	HST1.1	CAR-C4.1	V480	0.216588	0.236056	0.027127	0.057188	606295
bic_1	SPC.3.1	HST1.1	CED1.1	V480	0.206714	0.226011	0.028489	0.058443	602754
bic_1	SPC.3.1	HST1.1	CED2.1	V480	0.16711	0.185684	0.0284	0.058167	611518
bic_1	SPC.3.1	HST1.1	CED3.1	V480	0.356809	0.374992	0.032152	0.057474	578782
bic_1	SPC.3.1	HST1.1	CUY1.1	V480	0.288787	0.308744	0.028702	0.058017	588884
bic_1	SPC.3.1	HST1.1	CUY.2.1	V480	0.298987	0.318153	0.027712	0.055714	588130
bic_1	SPC.3.1	HST1.1	CUY3.1	V480	0.277791	0.296783	0.02941	0.057434	593234
bic_1	SPC.3.1	HST1.1	GRM4.1	V480	0.222806	0.240764	0.030676	0.058231	600467
bic_1	SPC.3.1	HST1.1	GRM5.1	V480	0.238955	0.25736	0.029477	0.057373	599613
bic_1	SPC.3.1	HST1.1	IND2.1	V480	0.22402	0.24263	0.029213	0.057813	604599
bic_1	SPC.3.1	HST1.1	IND5.1	V480	0.223557	0.242128	0.028501	0.057036	604661
bic_1	SPC.3.1	HST1.1	IND6.1	V480	0.190011	0.208584	0.02897	0.058251	611561
bic_1	SPC.3.1	HST1.1	MNZ1.1	V480	0.259013	0.27936	0.028874	0.059348	595218
bic_1	SPC.3.1	HST1.1	MNZ2.1	V480	0.2918	0.311128	0.029603	0.058015	590862
bic_1	SPC.3.1	HST1.1	ONC1.1	V480	0.245889	0.26514	0.027444	0.05656	600620
bic_1	SPC.3.1	HST1.1	ONC2.1	V480	0.241625	0.260988	0.02796	0.057322	601207
bic_1	SPC.3.1	HST1.1	ONC3.1	V480	0.189562	0.209258	0.026099	0.057161	611940
bic_1	SPC.3.1	HST1.1	RED11.1	V480	0.208426	0.22659	0.029893	0.058151	607682
bic_1	SPC.3.1	HST1.1	RED15.1	V480	0.251055	0.268524	0.028936	0.055299	600182
bic_1	SPC.3.1	HST1.1	RED17.1	V480	0.197906	0.216447	0.029532	0.05857	610067
bic_1	SPC.3.1	HST1.1	RED18.1	V480	0.199292	0.219402	0.027123	0.058558	610118
bic_1	SPC.3.1	HST1.1	RED9.119	V480	0.232123	0.250877	0.029696	0.058311	603607
bic_1	SPC.3.1	HST1.1	SHV.1.1	V480	0.288755	0.309969	0.027116	0.05817	590649
bic_1	SPC.3.1	HST1.1	SLA1.1	V480	0.217128	0.236079	0.027496	0.056763	606579
bic_1	SPC.3.1	HST1.1	SLA3.1	V480	0.206183	0.226199	0.027063	0.058199	608576
bic_1	SPC.3.1	HST1.1	SLA5.1	V480	0.194014	0.214442	0.026079	0.058231	609803
bic_1	SPC.3.1	HST1.1	WFM1.1	V480	0.250364	0.270743	0.027041	0.057863	596795
bic_1	SPC.3.1	HST1.1	WFM2.2	V480	0.289223	0.309096	0.029657	0.05889	590266
bic_1	SPC.3.1	HST1.1	WFM3.1	V480	0.283618	0.300948	0.031787	0.057352	592427
bic_1	SPC.3.1	HST2.1	ARS.1.1	V480	0.277034	0.296523	0.037353	0.065937	593720
bic_1	SPC.3.1	HST2.1	ARS2.1	V480	0.272698	0.291875	0.037151	0.065368	592094
bic_1	SPC.3.1	HST2.1	ARS3.1	V480	0.213446	0.23238	0.038295	0.067369	605665
