#topo1 (bicolor,((card,sierranlew),northernlew));
#topo2 (bicolor,((card,northernlew),sierranlew));
#topo3 (bicolor,(card,(sierranlew,northernlew)));
topo1	topo2	topo3
1630	148	142
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	0	1920
1920	0	0
0	0	1920
120	0	1800
0	1920	0
928	288	704
0	0	1920
1920	0	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
300	1620	0
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
192	1536	192
0	1440	480
0	1680	240
0	0	1920
0	0	1920
1391	293	236
1680	112	128
120	224	1576
609	508	803
388	20	1512
1736	0	184
1920	0	0
1920	0	0
128	0	1792
128	0	1792
128	0	1792
0	60	1860
1920	0	0
128	0	1792
1920	0	0
0	0	1920
128	0	1792
1920	0	0
116	4	1800
1920	0	0
1920	0	0
1920	0	0
1920	0	0
384	352	1184
0	0	1920
0	0	1920
1920	0	0
0	0	1920
336	560	1024
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1440	330	150
1920	0	0
1920	0	0
400	1504	16
1920	0	0
1920	0	0
0	1920	0
480	600	840
1920	0	0
120	1350	450
1920	0	0
253	54	1613
0	1800	120
1920	0	0
0	0	1920
0	300	1620
0	1440	480
128	1664	128
1620	75	225
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1680	240	0
1920	0	0
120	1528	272
1920	0	0
0	1920	0
512	1408	0
0	0	1920
1440	0	480
0	0	1920
0	0	1920
128	1312	480
960	0	960
0	60	1860
0	0	1920
1920	0	0
128	1792	0
0	0	1920
704	1152	64
0	0	1920
0	1920	0
1440	0	480
660	0	1260
0	0	1920
480	1440	0
0	1920	0
1440	352	128
0	0	1920
945	810	165
0	0	1920
0	1260	660
0	0	1920
0	630	1290
0	0	1920
0	480	1440
0	0	1920
0	0	1920
960	960	0
1920	0	0
1344	32	544
0	0	1920
0	0	1920
248	1672	0
1920	0	0
0	0	1920
75	630	1215
1920	0	0
1792	0	128
1620	0	300
560	500	860
0	1440	480
0	0	1920
0	0	1920
886	470	564
1650	78	192
784	1136	0
1920	0	0
768	0	1152
0	1920	0
1437	113	370
0	0	1920
0	0	1920
1760	64	96
32	1888	0
0	0	1920
384	1280	256
0	512	1408
1920	0	0
1920	0	0
0	0	1920
0	1920	0
24	608	1288
1680	32	208
0	60	1860
78	576	1266
42	1843	35
734	470	716
1920	0	0
0	1920	0
480	0	1440
1920	0	0
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
105	405	1410
0	0	1920
0	0	1920
192	1152	576
0	0	1920
495	1419	6
480	1440	0
0	1920	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
1760	64	96
0	512	1408
0	0	1920
0	1920	0
1536	0	384
0	480	1440
0	0	1920
480	0	1440
540	1380	0
0	0	1920
1440	0	480
0	0	1920
0	0	1920
0	1440	480
32	101	1787
324	1184	412
1920	0	0
1920	0	0
1082	610	228
28	1020	872
1920	0	0
1920	0	0
1792	0	128
1920	0	0
1674	74	172
1624	296	0
1860	0	60
0	1920	0
1152	192	576
228	156	1536
1920	0	0
0	0	1920
1920	0	0
1920	0	0
1216	704	0
369	344	1207
1920	0	0
224	1696	0
0	0	1920
192	864	864
396	1236	288
1860	0	60
896	1024	0
744	60	1116
0	1920	0
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	0	1920
