dummycol,Name,Short_name,Species,region,Location,lat,lon,elevation,petal_width_(mm),cor_ap_wid_(mm),cor_ap_len_(mm),corolla_ap_(len/wid),pistil_len_(mm),Date_tissue_collected,Date_seeds_collected,anthers?,Wire,date_extracted,Notes
54,10M3.1.100,IOM3.1.1,lewisii,northern,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
55,Stevens_Pass_3,SPC.3.1,lewisii,northern,ND,47.74,-121.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
56,Stevens_Pass_5,SPC.5.1b,lewisii,northern,ND,47.74,-121.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
57,Yellowstone_Lonestar_Geyser_1,YL5.1,lewisii,northern,Yellowstone_Lonestar_Geyser_trail,44.4411361,-110.804138,ND,ND,ND,ND,ND,ND,8/18/10,ND,ND,ND,ND,ND
58,Yellowstone_Lonestar_Geyser_2,YL5.1b,lewisii,northern,Yellowstone_Lonestar_Geyser_trail,44.4411361,-110.804138,ND,ND,ND,ND,ND,ND,8/18/10,ND,ND,ND,ND,ND
59,ND,PAR.202,parishii,NA,Wildlands_Conservancy_Whitewater_Canyon_Preserve_along_Whitewater_River_within_preserve_gate_took_Whitewater_Trail_to_Pacific_Crest_Trail,33.99006,-116.659917,682,ND,ND,ND,ND,ND,20090704,ND,ND,ND,ND,ND
60,ND,PAR1366,parishii,NA,Joshua_Tree_National_Park__Lower_Covington_Trailhead._Take_hwy_62_to_Yucca_Valley__go_south_on_La_Contenta._Follow_NPS_signs._Park_at_lower_covington_trailhead_and_walk_down_main_wash_0.5_miles.,34.02106,-116.29612,1382,ND,ND,ND,ND,ND,20100616,ND,ND,ND,ND,ND
61,ND,PAR1490,parishii,NA,Large_wash_5_miles_northwest_of_GRANITES_field_station_Turn_on_dirt_road_off_of_Kelbaker_Road__across_from_Hidden_Valley_Road_Entered_combination_gate_and_walked_in_wash_0.5_miles,34.79151,-115.63459,1247,ND,ND,ND,ND,ND,20100616,ND,ND,ND,ND,ND
62,ND,RUP,rupestris,NA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
63,ND,RUP_30,rupestris,NA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
64,ND,Positive,unknown,NA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
65,ND,V480,verbenaceus,NA,Coconino_National_Forest__West_Fork_of_Oak_Creek_trail_along_canyon_wall_on_east_side_of_creek__4th_stream_crossing_on_trail_walked_25_m_upstream_to_rock_wall,34.99314,-111.748944,1597,ND,ND,ND,ND,ND,20090803,ND,ND,ND,ND,ND
66,Carlon_8,Car-L8.1b,lewisii,NA,Canyon_de_Chelly_National_Monument__Canyon_de_Chelly_hanging_garden__west_of_Refuge_Rock,37.812429,-119.859273,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND
67,Carlon_1,Car-L1.1,lewisii,NA,ND,37.812429,-119.859273,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
68,Carlon_10,Car-L10.1,lewisii,NA,ND,37.812429,-119.859273,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
69,E697,E697,eastwoodiae,NA,ND,36.12917,-109.4545,1743,ND,ND,ND,ND,ND,20090810,ND,ND,ND,ND,ND
